CASRN,DTXSID,Name,Species,Sex,DosingAdj,HalfLife.h,kelim.h,Source,NObs,Multimodal,FittedDist
85571-83-1,DTXSID50897563,(-)-1-Perfluoropropylethanol,,,,52.55,,,,,
85571-83-1,DTXSID50897563,(-)-1-Perfluoropropylethanol,,,,4.943,,,,,
72276-05-2,DTXSID70880957,(((Perfluorodecyl)ethylsulphonyl)methylamino)ethyl acrylate,,,,29070,,,,,
72276-05-2,DTXSID70880957,(((Perfluorodecyl)ethylsulphonyl)methylamino)ethyl acrylate,,,,782.4,,,,,
72785-08-1,DTXSID2072594,((3-(Dimethylamino)propyl)((heptadecafluorooctyl)sulfonyl)amino)-1-Propanesulfonic acid,,,,29070,,,,,
72785-08-1,DTXSID2072594,((3-(Dimethylamino)propyl)((heptadecafluorooctyl)sulfonyl)amino)-1-Propanesulfonic acid,,,,782.4,,,,,
94200-57-4,DTXSID60240985,((Perfluoro-11-methyldodecyl)ethyl) dihydrogen phosphate,,,,29070,,,,,
94200-57-4,DTXSID60240985,((Perfluoro-11-methyldodecyl)ethyl) dihydrogen phosphate,,,,782.4,,,,,
91615-22-4,DTXSID80238647,((Perfluoro-13-methyltetradecyl)ethyl) acrylate,,,,29070,,,,,
91615-22-4,DTXSID80238647,((Perfluoro-13-methyltetradecyl)ethyl) acrylate,,,,782.4,,,,,
94158-64-2,DTXSID20240840,((Perfluoro-13-methyltetradecyl)ethyl) methacrylate,,,,29070,,,,,
94158-64-2,DTXSID20240840,((Perfluoro-13-methyltetradecyl)ethyl) methacrylate,,,,782.4,,,,,
47795-34-6,DTXSID20880422,((Perfluoro-9-methyldecyl)methyl)oxirane,,,,29070,,,,,
47795-34-6,DTXSID20880422,((Perfluoro-9-methyldecyl)methyl)oxirane,,,,52.55,,,,,
47795-34-6,DTXSID20880422,((Perfluoro-9-methyldecyl)methyl)oxirane,,,,782.4,,,,,
85877-79-8,DTXSID10576342,((Perfluorobutyl)ethyl)trimethoxysilane,,,,52.55,,,,,
38565-54-7,DTXSID10880416,((Perfluorodecyl)methyl)oxirane,,,,29070,,,,,
38565-54-7,DTXSID10880416,((Perfluorodecyl)methyl)oxirane,,,,52.55,,,,,
38565-54-7,DTXSID10880416,((Perfluorodecyl)methyl)oxirane,,,,782.4,,,,,
94158-66-4,DTXSID40881138,((Perfluorododecyl)methyl)oxirane,,,,29070,,,,,
94158-66-4,DTXSID40881138,((Perfluorododecyl)methyl)oxirane,,,,782.4,,,,,
94158-68-6,DTXSID10881140,((Perfluorohexadecyl)methyl)oxirane,,,,29070,,,,,
94158-68-6,DTXSID10881140,((Perfluorohexadecyl)methyl)oxirane,,,,782.4,,,,,
96383-55-0,DTXSID50893560,((Perfluorohexyl)ethyl)-2-chloropropenoate,,,,29070,,,,,
96383-55-0,DTXSID50893560,((Perfluorohexyl)ethyl)-2-chloropropenoate,,,,782.4,,,,,
