CASRN,DTXSID,SMILES
100016-68-0,DTXSID901023581,COC(=O)C(C(F)(F)F)(OC(C(OC(=C(F)F)F)(F)F)(F)F)F
1000-28-8,DTXSID50380985,C(C(C(F)(F)F)(F)F)OC(C(C(F)(F)F)F)(F)F
1000509-29-4,DTXSID80895178,C(CN)C(C(C(F)(F)F)(F)F)(F)F
100221-82-7,DTXSID90143031,C1CCCN(CC1)S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
100221-83-8,DTXSID50143032,C1COCCN1CNS(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
100221-84-9,DTXSID10143033,CCCCNC(=O)NS(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
100221-85-0,DTXSID70143034,C1CCC(CC1)NC(=O)NS(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
100234-24-0,DTXSID40617691,C1=CC=C2C(=C1)N(C3=CC=CC=C3S2)C(=O)C(C(C(F)(F)F)(F)F)(F)F
100333-46-8,DTXSID70905391,CC12CCCCC1SC(C2(F)F)(F)F
100419-95-2,DTXSID30554561,CCCCCCC(CC(C(C(C(F)(F)Cl)(F)F)(F)F)(F)F)I
100427-76-7,DTXSID30905478,C1=CC=C(C=C1)C(CC2(C(C(C2(F)F)(F)F)(F)F)O)O
1005033-64-6,DTXSID70896533,COC(=O)C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)(F)F)F)(F)F)F
100508-28-9,DTXSID70895460,C(=CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F
100550-08-1,DTXSID20895475,C(CCCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
100550-09-2,DTXSID80895537,C(CCCCC(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CCCC(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
10057-30-4,DTXSID00635210,C(C(F)(Br)Br)(F)(F)Cl
100603-63-2,DTXSID90895462,C(=CC(C(C(F)(F)F)(F)F)(F)F)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
100634-66-0,DTXSID50623102,C(=O)(C(C(C(F)(F)Cl)(F)F)(F)F)OOC(=O)C(C(C(F)(F)Cl)(F)F)(F)F
100645-99-6,DTXSID60467913,CC(C(C(C(F)(F)F)(F)F)(F)F)(C(F)(F)F)C(F)(F)F
100646-00-2,DTXSID60550319,CCC(C(C(C(F)(F)F)(F)F)(F)F)(C(F)(F)F)C(F)(F)F
100646-05-7,DTXSID10895287,C(=C(/C(C(F)(F)F)(F)F)\F)(\C(C(C(F)(F)F)(F)F)(F)F)/F
1006614-95-4,DTXSID50881346,[C@H]([C@H](C(F)(F)F)F)(C(C(F)(F)F)(F)F)F
1006614-96-5,DTXSID10881347,[C@@H]([C@@H](C(F)(F)F)F)(C(C(F)(F)F)(F)F)F
1006614-97-6,DTXSID70881348,[C@H]([C@@H](C(F)(F)F)F)(C(C(F)(F)F)(F)F)F
1006614-98-7,DTXSID30881349,[C@@H]([C@H](C(F)(F)F)F)(C(C(F)(F)F)(F)F)F
1006627-74-2,DTXSID20896321,C(/C(=C/C(C(F)(F)F)(C(F)(F)F)F)/I)O
100664-15-1,DTXSID30896059,C1=CC=C(C=C1)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)OP(=O)(OCC(F)(F)F)OCC(F)(F)F
101061-05-6,DTXSID40896606,CC(=C)C(=O)OC(C(C(F)(F)F)(F)F)(C(F)(F)F)C(F)(F)F
1010786-64-7,DTXSID30892490,C(=O)(C(C(C(OC(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O
10116-92-4,DTXSID80892329,C(CO)NS(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
101417-71-4,DTXSID10542204,C1CC=CC(C1)(C(C(F)(F)F)(F)F)O
101564-09-4,DTXSID60906317,C1CCC2C(CC1)SC(C2(F)F)(F)F
1017281-31-0,DTXSID10892998,C(=O)(C(C(C([13C]([13C]([13C]([13C](F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O
101832-26-2,DTXSID00906679,C1C(C(C1(F)F)(F)F)CCCCCCCCC(=O)O
10186-63-7,DTXSID20379548,COC(=O)C(C(F)(F)F)(OC)F
10186-64-8,DTXSID80455357,COC(C(=O)O)(C(F)(F)F)F
10186-65-9,DTXSID70384344,COC(C(=O)N)(C(F)(F)F)F
10186-66-0,DTXSID90381552,CCOC(=O)C(C(F)(F)F)(OCC)F
10186-73-9,DTXSID10371879,CCOC(=O)C(C(F)(F)F)(F)Br
101896-21-3,DTXSID20144319,C(COP(=O)(ON(CCO)CCO)ON(CCO)CCO)C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
